feature,importance
abs_org_amount_diff,0.35618436
is_full_balance_drain,0.13420412
amount_to_oldbalanceOrg_ratio,0.07690782
org_balance_change_ratio,0.06592664
org_amount_diff,0.0583106
newbalanceDest_to_oldbalanceDest_ratio,0.03935032
dest_balance_change_ratio,0.03395084
both_orig_balances_zero,0.033729274
amount_exceeds_oldbalanceDest,0.03350177
org_balance_change,0.019095017
oldbalanceOrg,0.01766684
is_night_transaction,0.016701382
hour_of_day,0.015713084
amount_to_oldbalanceDest_ratio,0.015476021
is_extreme_transaction,0.015336145
dest_amount_diff,0.013489896
newbalanceOrig_to_oldbalanceOrg_ratio,0.012461122
step,0.009399159
amount,0.0050180457
newbalanceOrig,0.004744238
dest_is_merchant,0.0035737564
log_amount,0.0034471995
abs_dest_amount_diff,0.0030974157
dest_is_customer,0.002529187
type_PAYMENT,0.0025187011
amount_exceeds_oldbalanceOrg,0.0015272815
oldbalanceDest,0.0014530611
dest_balance_change,0.0013679703
newbalanceDest,0.0013583694
is_zero_newbalanceOrig,0.00083481055
type_TRANSFER,0.00052497204
is_zero_oldbalanceOrg,0.0002826537
both_dest_balances_zero,0.00017304656
type_CASH_OUT,8.480395e-05
is_business_hours,4.8051603e-05
is_zero_oldbalanceDest,1.1987618e-05
is_zero_newbalanceDest,0.0
balance_change_mismatch,0.0
is_large_transaction,0.0
day_index,0.0
is_week_boundary_proxy,0.0
is_very_large_transaction,0.0
orig_is_customer,0.0
type_CASH_IN,0.0
type_DEBIT,0.0
